,Rating
2006-01-01,2.8076923076923075
2007-01-01,3.0172413793103448
2008-01-01,2.9318181818181817
2009-01-01,3.2
2010-01-01,3.1216216216216215
2011-01-01,3.1515151515151514
2012-01-01,3.1143617021276597
2013-01-01,3.1463414634146343
2014-01-01,3.1758474576271185
2015-01-01,3.2111486486486487
2016-01-01,3.2193396226415096
2017-01-01,3.4
2018-01-01,3.1233766233766236
2019-01-01,3.200657894736842
2020-01-01,3.3008474576271185
2021-01-01,3.308467741935484
2022-01-01,3.3201754385964914
2023-01-01,3.107142857142857
